ID,Release_Date,Title,TITLE,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,,,,
157,09 September 2021,Time Is Up,Time Is Up,211.613,250,6.2,English,Romance,,,,
158,30 June 2021,The Deep House,The Deep House,211.563,527,6.5,English,Horror,,,,
159,07 August 2015,Boruto: Naruto the Movie,Boruto: Naruto The Movie,211.071,996,7.7,Japanese,Animation,,,,
160,13 November 2002,Harry Potter and the Chamber of Secrets,Harry Potter And The Chamber Of Secrets,210.837,17901,7.7,English,Adventure,,,,
161,12 February 2020,Sonic the Hedgehog,Sonic The Hedgehog,210.751,7559,7.4,English,Action,,,,
162,27 October 2017,Coco,Coco,210.527,15355,8.2,English,Family, Comedy, Adventure,,
163,21 June 2017,Ava,Ava,210.438,130,6,French,Drama,,,,
164,15 October 2014,Fury,Fury,210.26,9757,7.5,English,War,,,,
165,12 August 2021,Don't Breathe 2,Don'T Breathe 2,209.059,1490,7.4,English,Thriller,,,,
166,01 October 2021,Matando Cabos 2: La M√°scara del M√°scara,Matando Cabos 2: La M„°Scara Del M„°Scara,209.018,70,7.8,Spanish,Action,,,,
167,03 December 2020,Monster Hunter,Monster Hunter,208.742,2460,6.8,English,Action,,,,
168,06 December 2014,The Last: Naruto the Movie,The Last: Naruto The Movie,208.37,1139,7.9,Japanese,Action,,,,
169,05 July 2017,Spider-Man: Homecoming,Spider-Man: Homecoming,207.817,18174,7.4,English,Action,,,,
170,11 February 2022,Bigbug,Bigbug,207.027,176,5.4,French,Science Fiction,,,,
171,01 May 2002,Spider-Man,Spider-Man,206.376,15336,7.2,English,Fantasy,,,,
172,24 April 2019,Avengers: Endgame,Avengers: Endgame,205.308,20521,8.3,English,Adventure,,,,
173,21 July 2021,Old,Old,205.157,2288,6.6,English,Thriller,,,,
174,28 September 2011,Real Steel,Real Steel,203.843,6561,6.9,English,Action,,,,
175,11 February 2022,Love and Leashes,Love And Leashes,203.743,68,6.3,Korean,Romance,,,,
176,11 April 2019,After,After,203.008,6973,7.2,English,Romance,,,,
177,30 June 2021,The Forever Purge,The Forever Purge,202.704,1652,7.3,English,Horror,,,,
178,11 February 2022,Tall Girl 2,Tall Girl 2,202.01,127,6,English,Comedy,,,,
179,17 February 2022,Dog,Dog,200.253,32,8.3,English,Drama,,,,
180,12 December 2007,I Am Legend,I Am Legend,199.248,13042,7.2,English,Drama,,,,
181,04 August 2007,Naruto Shippuden the Movie,Naruto Shippuden The Movie,198.011,418,7.2,Japanese,Animation,,,,
182,10 February 2021,Tom & Jerry,Tom & Jerry,197.721,1948,7,English,Comedy,,,,
183,10 February 2022,Against the Ice,Against The Ice,195.989,117,7,English,Adventure,,,,
184,12 August 2021,An Egg Rescue,An Egg Rescue,194.622,295,8.1,Spanish,Animation,,,,
185,16 November 2005,Harry Potter and the Goblet of Fire,Harry Potter And The Goblet Of Fire,193.459,16947,7.8,English,Adventure,,,,
186,11 February 2021,Pretty Guardian Sailor Moon Eternal The Movie Part 2,Pretty Guardian Sailor Moon Eternal The Movie Part 2,192.922,102,8.1,Japanese,Animation, Drama, Fantasy, Romance,
187,29 July 2021,Demonic,Demonic,192.391,109,4.8,English,Horror,,,,
188,24 November 2021,Far From the Tree,Far From The Tree,192.331,194,8.1,English,Animation,,,,
